Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA),Ensemble_Average_PSA_Chloroform_ANI,Ensemble_Average_Num_IMHB_Chloroform_ANI,Ensemble_Average_RadiusOfGyration_Chloroform_ANI,P_appLog
896.999,803.36,0.253521127,65,42,0,19,18,71,7,2,0.456521739,3,14,2.644,209.98,710.02,193.71,0.97,5.68,1.491361694
852.902,743.496,0.191176471,62,42,0,19,13,68,7,2,0.395348837,3,13,1.7639,217.82,642.18,252.14,0.87,5.24,1.049218023
850.93,753.592,0.191176471,62,42,0,18,13,68,7,2,0.409090909,3,12,2.4575,208.59,671.41,248.01,0.67,5.47,0.812913357
1020.21,896.016,0.276315789,71,33,3,20,21,76,6,3,0.470588235,3,12,7.7072,186.66,833.34,186.01,0.6,5.84,0.462397998
1012.704,900.176,0.236842105,70,39,1,20,18,76,7,3,0.46,5,14,7.42946,214.98,785.02,105.63,2.92,5.6,-0.397940009
837.83,697.696,0.265625,59,34,3,19,17,64,6,1,0.375,1,12,4.40258,177.04,622.96,204.17,0.29,5.23,1.69019608
1006.183,872.816,0.266666667,70,33,3,20,20,75,6,3,0.46,3,12,7.3171,186.66,813.34,175.16,0.32,5.41,1.136720567
1128.15,931.232,0.256097561,77,33,9,26,21,82,6,3,0.470588235,3,12,8.4428,186.66,833.34,160.07,0.93,5.93,0.505149978
1022.182,891.056,0.276315789,71,33,3,21,21,76,6,3,0.46,3,13,6.5535,195.89,804.11,197.66,1.64,5.16,1.235528447
1078.143,902.096,0.253164557,74,33,7,24,20,79,6,3,0.46,3,12,7.8075,186.66,813.34,217.11,0,5.63,0.113943352
722.847,661.968,0.275862069,53,34,0,14,16,58,6,1,0.435897436,3,11,4.25776,177.39,602.61,174.83,2.03,4.64,1.338456494
917.851,766.648,0.277777778,66,40,3,22,20,72,7,1,0.340909091,4,15,4.3784,242.78,637.22,243.14,1.81,5.07,1.614897216
1061.15,918.816,0.283950617,75,39,3,23,23,81,7,3,0.423076923,5,16,6.18942,241.76,798.24,155.46,3.16,5.39,1.371067862
1024.529,890.672,0.3375,73,46,1,22,27,80,8,1,0.411764706,6,16,5.2532,262.76,757.24,241.95,3,5.42,1.149219113
788.349,695.408,0.092307692,57,51,1,13,6,65,9,2,0.454545455,1,9,5.36628,137.37,742.63,261.21,0,8.77,0
1459.411,1291.704,0.236363636,101,58,4,25,26,110,10,4,0.421052632,2,13,12.293,216.79,1303.21,119.69,2.38,6.7,-0.522878745
775.826,669.592,0.136363636,58,52,0,15,9,66,9,2,0.209302326,3,12,5.3584,194.74,665.26,301.96,0,8.7,-1
903.934,790.896,0.235294118,62,39,2,17,16,68,7,5,0.444444444,3,12,7.77536,177.07,722.93,149.92,2.01,4.97,0.949390007
1008.039,880.352,0.293333333,69,39,2,20,22,75,7,5,0.489795918,3,15,6.96328,204.76,775.24,161.36,2.54,5.37,1.071882007
1070.736,942,0.283950617,74,44,1,21,23,81,8,5,0.471698113,3,17,7.7418,217.65,842.35,145.6,2.24,5.33,0.944482672
930.96,813.04,0.228571429,64,39,2,18,16,70,7,5,0.434782609,4,12,6.80128,196.94,723.06,134.68,3.02,5.2,0.826074803
991.012,861.04,0.27027027,68,39,2,20,20,74,7,5,0.458333333,4,14,6.05428,215.4,744.6,137.19,3.9,5.6,0.77815125
1035.065,905,0.298701299,71,39,2,21,23,77,7,5,0.48,4,15,6.07088,224.63,775.37,132.52,2.23,5.94,0.672097858
993.657,871.816,0.223684211,69,44,1,19,17,76,8,5,0.42,4,14,7.5798,209.83,790.17,134.46,3.97,5.43,0.602059991
1053.709,924.808,0.2625,73,44,1,21,21,80,8,5,0.442307692,4,16,6.8328,228.29,811.71,201.37,2.62,5.71,0.591064607
1097.762,961.8,0.289156627,76,44,1,22,24,83,8,5,0.462962963,4,17,6.8494,237.52,842.48,189.5,3.83,5.28,0.579783597
1050.705,921.32,0.25,73,44,1,20,20,80,8,5,0.433962264,3,16,7.40608,208.42,851.58,170.24,2.48,5.45,0.86332286
890.458,768.752,0.231884058,62,46,3,18,16,69,8,1,0.454545455,3,11,6.592,156.1,723.9,139.42,2,5.13,0.531478917
1019.711,903.008,0.233766234,70,43,2,20,18,77,8,3,0.54,5,14,6.69692,194.25,805.75,174.1,3,5.32,1.012837225
962.069,832.72,0.27027027,68,41,3,22,20,74,7,1,0.413043478,5,14,4.9489,218.38,701.62,226.08,1.06,5.65,0.505149978
823.311,712.712,0.215384615,59,41,1,18,14,65,7,1,0.317073171,5,13,4.3176,207.3,612.7,192.67,3.93,5.25,1.409933123
1002.661,881.352,0.266666667,69,39,1,20,20,75,7,4,0.469387755,4,15,5.59668,211.49,768.51,131.56,2,5.32,0.995635195
