mol,ANI_energy(hartree),ANI_energy(kcal/mol),Boltzmann Weight
,-3051.589940712346,-1914900.152106464,1.3389025503650529e-05
,-3051.585560486211,-1914897.4034751416,1.2911422337758406e-07
,-3051.5878736232653,-1914898.8549894616,1.4978799966430117e-06
,-3051.593929932012,-1914902.6553777067,0.000917451543045235
,-3051.5970653747454,-1914904.6228962413,0.025439593603701474
,-3051.5972098564043,-1914904.7135597824,0.02964834512230474
,-3051.598872110738,-1914905.756639337,0.17257104683281987
,-3051.5987126087084,-1914905.656550378,0.1457354776074788
,-3051.5971943591967,-1914904.703835145,0.029165448601700915
,-3051.5979987834826,-1914905.2086186244,0.06840120691797892
,-3051.597281858815,-1914904.7587419436,0.03199896135879269
,-3051.59850256194,-1914905.524744141,0.1166546391979827
,-3051.5990015720263,-1914905.8378774608,0.19794560584011806
,-3051.5988687728777,-1914905.7545448,0.17196174934468567
,-3051.5961403106585,-1914904.042410201,0.009545458009667327
