mol,ANI_energy(hartree),ANI_energy(kcal/mol)
,-3051.589940712346,-1914900.1521064637
,-3051.585560486211,-1914897.4034751416
,-3051.5878736232653,-1914898.8549894616
,-3051.5939299320116,-1914902.6553777067
,-3051.5970653747454,-1914904.6228962413
,-3051.5972098564043,-1914904.7135597824
,-3051.598872110738,-1914905.756639337
,-3051.5987126087084,-1914905.656550378
,-3051.5971943591967,-1914904.703835145
,-3051.5979987834826,-1914905.2086186244
,-3051.597281858815,-1914904.7587419434
,-3051.59850256194,-1914905.5247441407
,-3051.5990015720263,-1914905.8378774608
,-3051.5988687728777,-1914905.7545447997
,-3051.5961403106585,-1914904.042410201
